TSP Instance,Number of Cities,Optimal Distance,My Distance,Success Rate (%),Runtime (s),PARAMETERS,POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,NUMBER_OF_GENERATIONS,TIME_LIMIT
bayg29,29,1610,2364,68.10490694,1259.974,,800,2,0.07,11039,1200
berlin52,52,7542,14852,50.78103959,1259.97,,800,2,0.07,10294,1200
kroA100,100,21282,104570,20.35191738,1259.864,,800,2,0.07,5577,1200
gr202,202,40160,194925,20.60279595,1259.514,,800,2,0.07,2467,1200
a280,280,2579,26664,9.672217222,1259.199,,800,2,0.07,903,1200
pa561,561,2763,31635,8.733997155,1258.386,,800,2,0.07,452,1200
gr666,666,294358,4472691,6.581228169,1610.078,,800,2,0.07,116,1200
,,,,,,,,,,,
,,,,,,,,,,,
TSP Instance,Success Rate (%),,,,,,,,,,
bayg29,68.10490694,,,,,,,,,,
berlin52,50.78103959,,,,,,,,,,
kroA100,20.35191738,,,,,,,,,,
gr202,20.60279595,,,,,,,,,,
a280,9.672217222,,,,,,,,,,
pa561,8.733997155,,,,,,,,,,
gr666,6.581228169,,,,,,,,,,
