TSP Instance,Number of Cities,Optimal Distance,My Distance,Success Rate (%),Runtime (s),PARAMETERS,POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,NUMBER_OF_GENERATIONS,TIME_LIMIT
bayg29,29,1610.0,1891.0,85.14013749338974,1259.871,,100,2,0.1,5402,1200
bayg29,29,1610.0,1750.0,92.0,1259.772,,800,2,0.1,2656,1200
bayg29,29,1610.0,1796.0,89.64365256124721,1260.140,,1600,2,0.1,2072,1200
berlin52,52,7542.0,8181.0,92.18921892189219,1259.223,,100,2,0.1,3989,1200
berlin52,52,7542.0,8137.0,92.6877227479415,1259.987,,800,2,0.1,2226,1200
berlin52,52,7542.0,8103.0,93.07663828211773,1259.679,,1600,2,0.1,1574,1200
kroA100,100,21282.0,24698.0,86.16892056036926,1259.271,,100,2,0.1,3458,1200
kroA100,100,21282.0,24698.0,86.16892056036926,1259.832,,800,2,0.1,1525,1200
kroA100,100,21282.0,24698.0,86.16892056036926,1259.712,,1600,2,0.1,1010,1200
gr202,202,40160.0,47060.0,85.33786655333616,1259.986,,100,2,0.1,2768,1200
gr202,202,40160.0,47060.0,85.33786655333616,1259.832,,800,2,0.1,884,1200
gr202,202,40160.0,46966.0,85.50866584337606,1259.124,,1600,2,0.1,516,1200
a280,280,2579.0,2975.0,86.6890756302521,1259.950,,100,2,0.1,2167,1200
a280,280,2579.0,2975.0,86.6890756302521,1258.675,,800,2,0.1,597,1200
a280,280,2579.0,2975.0,86.6890756302521,1258.943,,1600,2,0.1,346,1200
pa561,561,2763.0,3298.0,83.77804730139479,1259.537,,100,2,0.1,1129,1200
pa561,561,2763.0,3279.0,84.26349496797805,1259.400,,800,2,0.1,228,1200
pa561,561,2763.0,3279.0,84.26349496797805,1259.379,,1600,2,0.1,131,1200
gr666,666,294358.0,351222.0,83.80967023705804,1259.654,,100,2,0.1,941,1200
gr666,666,294358.0,350243.0,84.04393521069657,1257.162,,800,2,0.1,182,1200
gr666,666,294358.0,350243.0,84.04393521069657,1254.861,,1600,2,0.1,106,1200
