TSP Instance,Number of Cities,Optimal Distance,My Distance,Success Rate (%),Runtime (s),PARAMETERS,POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,NUMBER_OF_GENERATIONS,TIME_LIMIT,,
bayg29,29,1610,1935,83.20413437,573.23,,100,2,0,100000,1200,,
bayg29,29,1610,1777,90.60213844,1259.955,,800,2,0,27888,1200,,
bayg29,29,1610,1782,90.34792368,1259.925,,1600,2,0,13833,1200,,
berlin52,52,7542,8064,93.52678571,1069.602,,100,2,0,100000,1200,,
berlin52,52,7542,8145,92.59668508,1259.938,,800,2,0,14848,1200,,
berlin52,52,7542,8130,92.76752768,1259.874,,1600,2,0,7526,1200,,
kroA100,100,21282,24698,86.16892056,1260.01,,100,2,0,59912,1200,,
kroA100,100,21282,24698,86.16892056,1259.972,,800,2,0,7930,1200,,
kroA100,100,21282,24698,86.16892056,1259.885,,1600,2,0,3976,1200,,
gr202,202,40160,47060,85.33786655,1260.013,,100,2,0,15455,1200,,
gr202,202,40160,47060,85.33786655,1259.883,,800,2,0,2737,1200,,
gr202,202,40160,47060,85.33786655,1259.959,,1600,2,0,1419,1200,,
a280,280,2579,2976,86.65994624,1259.937,,100,2,0,14240,1200,,
a280,280,2579,2975,86.68907563,1259.828,,800,2,0,1729,1200,,
a280,280,2579,2975,86.68907563,1259.444,,1600,2,0,878,1200,,
pa561,561,2763,3282,84.18647166,1259.886,,100,2,0,4658,1200,,
pa561,561,2763,3279,84.26349497,11534.364,,800,2,0,298,1200,,
pa561,561,2763,3279,84.26349497,1257.671,,1600,2,0,286,1200,,
gr666,666,294358,351222,83.80967024,1259.94,,100,2,0,3444,1200,,
gr666,666,294358,350243,84.04393521,1258.438,,800,2,0,417,1200,,
gr666,666,294358,350243,84.04393521,1255.361,,1600,2,0,211,1200,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TSP Instance,Pop. Size: 100,Pop. Size: 800,Pop. Size: 1600,,,,,,,,,Best w/ mut:,Best w/o mut:
bayg29,83.204,90.602,90.348,,,bayg29,+,+,-,,1,92,"90,602"
berlin52,93.527,92.597,92.768,,,berlin52,-,+,+,,1,"93,077","93,527"
kroA100,86.169,86.169,86.169,,,kroA100,0,0,0,,0,"86,169","86,169"
gr202,85.338,85.338,85.338,,,gr202,0,0,+,,1,"85,509","85,338"
a280,86.660,86.689,86.689,,,a280,+,0,0,,1,"86,689","86,689"
pa561,84.186,84.263,84.263,,,pa561,-,0,0,,-1,"84,263","84,263"
gr666,83.810,84.044,84.044,,,gr666,0,0,0,,0,"84,044","84,044"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TSP Instance,Pop. Size: 100,Pop. Size: 800,Pop. Size: 1600,,,,,,,,,,
bayg29,85.140,92.000,89.644,,,,TSP Instance,Pop. Size: 100,Pop. Size: 800,Pop. Size: 1600,,,
berlin52,92.189,92.688,93.077,,,,bayg29,1.936,1.398,-0.704,,,
kroA100,86.169,86.169,86.169,,,,berlin52,-1.338,0.091,0.309,,,
gr202,85.338,85.338,85.509,,,,kroA100,0.000,0.000,0.000,,,
a280,86.689,86.689,86.689,,,,gr202,0.000,0.000,0.171,,,
pa561,83.778,84.263,84.263,,,,a280,0.029,0.000,0.000,,,
gr666,83.810,84.044,84.044,,,,pa561,-0.408,0.000,0.000,,,
,,,,,,,gr666,0.000,0.000,0.000,,,
